Vardas         Pavarde         ND1	ND2	ND3	ND4	ND5	ND6	ND7	ND8	ND9	Egz.
Vardas819      Pavarde819      9	9	10	8	7	1	6	6	2	4	
Vardas820      Pavarde820      6	4	6	2	4	2	8	5	6	6	
Vardas821      Pavarde821      7	2	7	4	3	9	6	10	9	5	
Vardas822      Pavarde822      9	1	10	4	10	2	3	9	5	8	
Vardas823      Pavarde823      7	1	1	10	8	10	3	7	4	10	
Vardas824      Pavarde824      7	1	5	6	1	10	5	8	3	5	
Vardas825      Pavarde825      2	10	3	4	8	8	5	10	8	10	
Vardas826      Pavarde826      3	7	3	5	5	9	5	8	9	2	
Vardas827      Pavarde827      6	7	9	2	10	7	4	7	9	2	
Vardas828      Pavarde828      8	5	3	3	8	3	5	4	1	8	
Vardas829      Pavarde829      9	8	10	4	9	7	5	10	4	9	
Vardas830      Pavarde830      1	7	8	1	9	10	9	4	5	10	
Vardas831      Pavarde831      2	4	7	9	2	10	9	4	10	8	
Vardas832      Pavarde832      5	5	9	5	10	7	7	4	10	7	
Vardas833      Pavarde833      5	3	2	6	4	6	2	7	2	4	
Vardas834      Pavarde834      10	8	1	2	2	3	7	9	2	4	
Vardas835      Pavarde835      9	5	2	9	7	3	2	10	1	5	
Vardas836      Pavarde836      4	6	2	4	6	6	8	10	5	2	
Vardas837      Pavarde837      2	10	3	2	7	4	6	9	3	5	
Vardas838      Pavarde838      2	7	10	7	2	2	7	1	5	5	
Vardas839      Pavarde839      1	6	4	1	2	3	2	6	4	6	
Vardas840      Pavarde840      7	4	10	7	1	4	4	5	3	9	
Vardas841      Pavarde841      10	6	5	7	2	7	6	4	3	4	
Vardas842      Pavarde842      9	1	10	1	5	7	2	1	9	7	
Vardas843      Pavarde843      5	2	1	10	6	4	10	4	6	9	
Vardas844      Pavarde844      1	3	8	2	3	10	2	9	3	10	
Vardas845      Pavarde845      6	9	5	1	8	9	2	4	3	2	
Vardas846      Pavarde846      10	10	9	7	4	8	7	2	3	10	
Vardas847      Pavarde847      8	6	10	8	6	9	7	2	9	10	
Vardas848      Pavarde848      7	9	3	1	4	4	5	8	7	6	
Vardas849      Pavarde849      1	4	10	10	6	8	7	10	9	1	
Vardas850      Pavarde850      1	1	4	2	8	2	10	1	3	10	
Vardas851      Pavarde851      1	9	2	7	6	6	3	8	5	7	
Vardas852      Pavarde852      10	1	8	7	4	9	10	4	6	2	
Vardas853      Pavarde853      6	4	5	6	10	6	2	2	4	6	
Vardas854      Pavarde854      3	1	3	5	5	2	10	6	7	7	
Vardas855      Pavarde855      5	8	1	2	8	1	8	5	9	8	
Vardas856      Pavarde856      10	7	6	1	3	9	2	3	5	2	
Vardas857      Pavarde857      8	9	4	6	1	9	8	3	6	4	
Vardas858      Pavarde858      1	3	2	8	2	3	8	2	1	3	
Vardas859      Pavarde859      8	5	1	6	9	6	4	1	3	8	
Vardas860      Pavarde860      4	6	6	4	9	5	5	7	1	5	
Vardas861      Pavarde861      2	7	6	4	8	10	10	4	6	4	
Vardas862      Pavarde862      5	9	1	1	8	10	4	3	1	10	
Vardas863      Pavarde863      6	1	7	4	5	4	3	9	3	8	
Vardas864      Pavarde864      3	4	4	6	8	1	8	5	1	5	
Vardas865      Pavarde865      1	3	6	4	4	9	4	3	6	10	
Vardas866      Pavarde866      1	7	8	6	7	8	3	4	7	10	
Vardas867      Pavarde867      8	3	10	4	7	3	5	5	2	6	
Vardas868      Pavarde868      5	4	8	9	4	6	3	6	4	9	
Vardas869      Pavarde869      4	9	10	9	7	9	6	5	7	2	
Vardas870      Pavarde870      10	7	1	10	9	10	4	7	2	8	
Vardas871      Pavarde871      5	2	9	5	2	3	4	2	10	1	
Vardas872      Pavarde872      9	9	3	5	3	3	8	8	1	1	
Vardas873      Pavarde873      7	8	3	5	4	6	1	1	9	8	
Vardas874      Pavarde874      2	5	4	5	7	7	9	5	7	10	
Vardas875      Pavarde875      10	4	1	8	6	3	9	3	9	7	
Vardas876      Pavarde876      9	3	2	3	10	1	8	5	1	8	
Vardas877      Pavarde877      4	7	2	5	2	5	1	8	10	9	
Vardas878      Pavarde878      8	3	9	1	5	8	5	10	3	10	
Vardas879      Pavarde879      2	7	7	6	9	6	4	7	8	2	
Vardas880      Pavarde880      10	6	10	8	3	2	6	5	1	8	
Vardas881      Pavarde881      7	6	3	1	10	7	9	8	1	4	
Vardas882      Pavarde882      2	6	9	10	10	5	2	6	7	1	
Vardas883      Pavarde883      6	7	4	7	1	1	3	5	4	4	
Vardas884      Pavarde884      2	9	8	8	4	10	7	5	5	3	
Vardas885      Pavarde885      4	9	5	8	4	4	10	7	1	10	
Vardas886      Pavarde886      9	2	4	9	8	6	6	9	1	7	
Vardas887      Pavarde887      5	3	8	4	4	2	3	1	5	2	
Vardas888      Pavarde888      10	4	2	4	4	2	4	3	4	5	
Vardas889      Pavarde889      7	9	6	10	5	2	4	5	4	3	
Vardas890      Pavarde890      10	9	6	10	1	2	4	7	9	7	
Vardas891      Pavarde891      2	10	10	10	3	10	4	5	10	8	
Vardas892      Pavarde892      5	3	3	1	7	9	4	3	9	9	
Vardas893      Pavarde893      6	9	4	8	10	9	10	3	5	5	
Vardas894      Pavarde894      2	8	1	6	7	9	3	8	2	10	
Vardas895      Pavarde895      4	8	7	4	9	3	9	3	8	5	
Vardas896      Pavarde896      10	1	5	2	2	8	6	2	9	1	
Vardas897      Pavarde897      1	1	8	8	2	3	9	8	2	9	
Vardas898      Pavarde898      7	6	2	5	8	9	7	2	2	8	
Vardas899      Pavarde899      10	7	7	1	3	10	8	5	8	1	
Vardas900      Pavarde900      1	1	2	2	10	7	2	3	6	6	
Vardas901      Pavarde901      3	8	5	6	8	8	8	7	6	10	
Vardas902      Pavarde902      10	5	3	10	9	8	6	7	6	4	
Vardas903      Pavarde903      2	8	3	1	8	9	2	5	8	3	
Vardas904      Pavarde904      3	10	4	4	5	6	8	10	8	4	
Vardas905      Pavarde905      6	9	8	8	9	8	8	6	3	8	
Vardas906      Pavarde906      9	4	4	10	7	3	4	6	2	8	
Vardas907      Pavarde907      4	3	8	3	7	1	9	3	5	8	
Vardas908      Pavarde908      4	6	1	2	8	3	9	10	2	2	
Vardas909      Pavarde909      9	7	1	8	10	2	8	2	8	7	
Vardas910      Pavarde910      2	9	8	4	2	1	1	7	3	3	
Vardas911      Pavarde911      8	9	6	6	2	8	8	2	9	6	
Vardas912      Pavarde912      5	4	10	1	3	8	2	5	3	4	
Vardas913      Pavarde913      7	5	8	1	10	2	8	1	1	9	
Vardas914      Pavarde914      9	2	1	1	5	3	8	6	5	9	
Vardas915      Pavarde915      7	9	10	1	4	1	4	6	7	4	
Vardas916      Pavarde916      10	5	9	7	3	2	1	5	7	3	
Vardas917      Pavarde917      3	9	2	2	3	2	10	6	1	3	
Vardas918      Pavarde918      10	5	7	8	3	4	9	5	9	5	
Vardas919      Pavarde919      3	10	5	7	2	1	2	1	10	9	
Vardas920      Pavarde920      4	1	8	8	10	10	9	9	2	5	
Vardas921      Pavarde921      10	4	9	4	2	5	9	6	7	1	
Vardas922      Pavarde922      5	5	7	6	4	2	5	2	2	3	
Vardas923      Pavarde923      3	6	7	3	7	6	5	8	2	10	
Vardas924      Pavarde924      9	9	7	8	6	9	7	3	10	7	
Vardas925      Pavarde925      2	7	10	6	9	1	8	4	10	4	
Vardas926      Pavarde926      2	3	3	3	8	1	10	2	4	1	
Vardas927      Pavarde927      8	10	4	9	9	4	9	4	4	1	
Vardas928      Pavarde928      3	7	10	9	6	2	3	8	3	4	
Vardas929      Pavarde929      8	2	6	4	4	5	6	7	4	3	
Vardas930      Pavarde930      7	5	3	8	8	8	6	6	8	1	
Vardas931      Pavarde931      9	4	1	4	7	4	10	3	5	4	
Vardas932      Pavarde932      3	9	1	5	9	10	2	4	8	8	
Vardas933      Pavarde933      7	9	8	1	8	2	4	1	8	1	
Vardas934      Pavarde934      9	3	5	10	3	10	6	3	10	9	
Vardas935      Pavarde935      7	7	7	6	4	8	6	9	7	2	
Vardas936      Pavarde936      9	8	6	6	3	7	2	2	10	3	
Vardas937      Pavarde937      4	4	7	7	1	9	4	2	10	6	
Vardas938      Pavarde938      2	5	6	6	9	10	9	3	6	4	
Vardas939      Pavarde939      1	5	7	8	9	10	1	10	9	5	
Vardas940      Pavarde940      8	7	2	5	10	4	7	8	2	6	
Vardas941      Pavarde941      7	10	3	6	7	9	5	6	7	3	
Vardas942      Pavarde942      1	5	1	6	10	8	4	1	3	7	
Vardas943      Pavarde943      8	9	7	3	9	5	10	10	3	7	
Vardas944      Pavarde944      6	3	9	9	7	8	2	10	6	8	
Vardas945      Pavarde945      3	2	2	4	1	2	4	10	7	9	
Vardas946      Pavarde946      3	9	3	10	8	4	2	5	10	5	
Vardas947      Pavarde947      8	5	9	10	6	8	8	3	4	5	
Vardas948      Pavarde948      2	4	10	3	7	6	3	2	3	3	
Vardas949      Pavarde949      2	4	1	10	1	6	9	9	6	2	
Vardas950      Pavarde950      4	7	10	9	6	9	2	6	6	5	
Vardas951      Pavarde951      2	6	4	4	7	4	1	1	2	9	
Vardas952      Pavarde952      3	3	7	2	5	1	10	4	8	7	
Vardas953      Pavarde953      2	3	3	7	5	6	4	10	9	4	
Vardas954      Pavarde954      5	5	7	4	1	9	9	7	4	9	
Vardas955      Pavarde955      2	4	4	6	7	1	5	7	5	6	
Vardas956      Pavarde956      3	10	2	10	2	4	3	10	2	4	
Vardas957      Pavarde957      9	4	3	2	7	1	1	1	7	4	
Vardas958      Pavarde958      6	7	1	5	2	7	1	3	10	6	
Vardas959      Pavarde959      10	9	6	8	10	5	10	10	3	2	
Vardas960      Pavarde960      4	9	1	2	1	7	8	9	8	3	
Vardas961      Pavarde961      1	2	4	8	10	6	7	2	4	1	
Vardas962      Pavarde962      6	8	3	2	3	8	6	6	2	7	
Vardas963      Pavarde963      3	3	3	5	1	9	6	4	8	5	
Vardas964      Pavarde964      4	2	8	4	9	5	2	2	9	3	
Vardas965      Pavarde965      1	10	3	9	10	10	3	5	10	2	
Vardas966      Pavarde966      5	9	4	7	7	4	3	1	2	9	
Vardas967      Pavarde967      9	5	7	1	10	6	4	1	5	7	
Vardas968      Pavarde968      5	1	2	9	7	1	3	4	2	7	
Vardas969      Pavarde969      7	2	3	3	7	1	6	5	8	7	
Vardas970      Pavarde970      9	4	9	4	6	3	8	9	10	6	
Vardas971      Pavarde971      6	4	10	7	7	2	9	4	6	2	
Vardas972      Pavarde972      6	2	5	4	9	3	6	8	2	5	
Vardas973      Pavarde973      8	4	8	7	5	1	6	4	7	3	
Vardas974      Pavarde974      9	1	5	6	2	9	8	4	9	8	
Vardas975      Pavarde975      5	8	9	6	10	9	7	3	10	6	
Vardas976      Pavarde976      9	1	7	5	8	4	6	1	8	2	
Vardas977      Pavarde977      8	1	3	6	6	1	10	4	10	10	
Vardas978      Pavarde978      2	8	2	10	5	1	3	7	3	4	
Vardas979      Pavarde979      7	9	2	6	8	7	6	2	8	9	
Vardas980      Pavarde980      6	1	1	4	7	4	8	2	10	7	
Vardas981      Pavarde981      8	5	5	5	6	8	4	6	1	7	
Vardas982      Pavarde982      3	9	4	9	9	7	1	4	2	8	
Vardas983      Pavarde983      7	9	10	7	2	4	2	9	2	2	
Vardas984      Pavarde984      6	9	7	9	7	10	8	9	6	4	
Vardas985      Pavarde985      2	9	3	6	10	9	10	5	8	9	
Vardas986      Pavarde986      3	10	10	7	2	4	8	5	7	7	
Vardas987      Pavarde987      7	10	7	8	3	9	6	9	9	5	
Vardas988      Pavarde988      1	1	5	2	9	2	4	3	3	6	
Vardas989      Pavarde989      9	5	7	10	8	6	8	6	9	3	
Vardas990      Pavarde990      1	10	4	4	5	5	2	8	4	6	
Vardas991      Pavarde991      8	6	5	8	2	4	1	6	7	3	
Vardas992      Pavarde992      2	3	9	6	5	10	7	3	10	10	
Vardas993      Pavarde993      1	10	6	7	7	3	2	4	6	5	
Vardas994      Pavarde994      1	1	1	6	1	6	9	3	2	1	
Vardas995      Pavarde995      6	9	4	8	6	5	10	10	1	6	
Vardas996      Pavarde996      6	8	3	3	9	3	2	8	8	7	
Vardas997      Pavarde997      3	6	2	3	7	1	1	5	2	6	
Vardas998      Pavarde998      4	4	3	10	3	1	9	6	6	7	
Vardas999      Pavarde999      4	10	1	2	5	7	10	4	10	7	
Vardas1000     Pavarde1000     10	2	6	9	7	10	5	5	9	1	
