Vardas         Pavarde         ND1	ND2	ND3	ND4	ND5	ND6	ND7	ND8	ND9	Egz.
Vardas4793     Pavarde4793     5	4	4	5	2	7	9	10	5	5	
Vardas4794     Pavarde4794     5	7	10	1	2	1	5	4	4	1	
Vardas4795     Pavarde4795     10	7	4	7	9	10	7	6	10	2	
Vardas4796     Pavarde4796     4	9	3	10	7	4	3	4	8	6	
Vardas4797     Pavarde4797     10	2	6	4	8	10	1	4	7	7	
Vardas4798     Pavarde4798     4	8	7	10	8	10	4	1	4	6	
Vardas4799     Pavarde4799     6	8	10	2	5	2	3	4	4	3	
Vardas4800     Pavarde4800     8	6	4	1	1	8	7	10	10	10	
Vardas4801     Pavarde4801     1	3	1	6	7	8	1	2	4	2	
Vardas4802     Pavarde4802     4	2	5	1	9	8	9	2	8	2	
Vardas4803     Pavarde4803     6	3	5	9	4	1	9	8	7	4	
Vardas4804     Pavarde4804     3	8	5	6	4	3	2	8	5	7	
Vardas4805     Pavarde4805     2	5	10	6	6	2	10	2	8	4	
Vardas4806     Pavarde4806     7	7	2	7	3	9	8	3	2	7	
Vardas4807     Pavarde4807     9	3	9	5	1	7	3	9	8	3	
Vardas4808     Pavarde4808     7	4	4	8	8	2	2	8	4	2	
Vardas4809     Pavarde4809     9	3	10	8	7	7	2	5	7	5	
Vardas4810     Pavarde4810     7	9	3	1	6	2	5	3	7	5	
Vardas4811     Pavarde4811     9	10	7	6	7	1	10	5	9	2	
Vardas4812     Pavarde4812     7	10	6	4	5	1	1	10	6	10	
Vardas4813     Pavarde4813     7	3	1	9	7	2	5	9	10	7	
Vardas4814     Pavarde4814     7	8	7	1	1	1	1	3	6	7	
Vardas4815     Pavarde4815     1	2	1	5	3	5	4	9	3	2	
Vardas4816     Pavarde4816     6	3	3	1	9	6	5	8	5	2	
Vardas4817     Pavarde4817     7	2	10	4	10	3	3	7	8	2	
Vardas4818     Pavarde4818     5	4	1	1	6	2	1	1	4	3	
Vardas4819     Pavarde4819     3	8	2	8	7	3	4	9	9	1	
Vardas4820     Pavarde4820     2	10	3	6	10	7	6	3	10	3	
Vardas4821     Pavarde4821     9	8	5	3	9	10	5	9	5	5	
Vardas4822     Pavarde4822     1	1	10	10	5	7	3	8	3	10	
Vardas4823     Pavarde4823     4	9	8	1	9	10	4	5	4	9	
Vardas4824     Pavarde4824     10	9	4	9	5	3	2	8	9	7	
Vardas4825     Pavarde4825     4	10	3	10	7	8	4	10	8	9	
Vardas4826     Pavarde4826     6	9	5	5	1	10	8	7	5	7	
Vardas4827     Pavarde4827     2	6	9	1	3	6	5	8	9	1	
Vardas4828     Pavarde4828     5	3	4	7	5	9	4	5	8	5	
Vardas4829     Pavarde4829     1	9	10	7	7	2	6	1	9	10	
Vardas4830     Pavarde4830     8	1	10	7	3	8	10	10	3	7	
Vardas4831     Pavarde4831     1	4	9	7	1	7	1	10	8	3	
Vardas4832     Pavarde4832     4	5	8	8	3	7	6	6	5	5	
Vardas4833     Pavarde4833     9	5	8	10	6	2	10	9	5	8	
Vardas4834     Pavarde4834     3	8	8	9	5	8	2	3	8	9	
Vardas4835     Pavarde4835     9	3	8	8	2	1	4	8	10	4	
Vardas4836     Pavarde4836     9	8	7	9	6	5	6	8	6	4	
Vardas4837     Pavarde4837     4	5	3	1	2	8	10	1	9	9	
Vardas4838     Pavarde4838     6	10	10	6	2	1	8	7	9	1	
Vardas4839     Pavarde4839     8	9	10	9	7	9	3	7	8	3	
Vardas4840     Pavarde4840     9	5	5	2	2	9	6	10	2	5	
Vardas4841     Pavarde4841     8	7	1	7	5	2	1	2	3	8	
Vardas4842     Pavarde4842     4	8	5	6	3	6	5	6	1	6	
Vardas4843     Pavarde4843     10	7	9	2	8	8	10	1	1	4	
Vardas4844     Pavarde4844     3	7	1	10	5	8	9	6	6	9	
Vardas4845     Pavarde4845     8	4	4	5	5	10	8	5	1	10	
Vardas4846     Pavarde4846     7	3	6	10	9	10	5	7	9	2	
Vardas4847     Pavarde4847     2	3	1	3	2	8	8	8	4	9	
Vardas4848     Pavarde4848     4	8	3	9	7	2	10	2	4	3	
Vardas4849     Pavarde4849     9	4	7	2	9	7	4	2	9	7	
Vardas4850     Pavarde4850     5	4	4	7	1	5	2	8	7	9	
Vardas4851     Pavarde4851     8	7	8	5	9	1	4	6	4	8	
Vardas4852     Pavarde4852     2	6	1	4	9	8	4	5	4	6	
Vardas4853     Pavarde4853     4	8	4	1	10	4	5	3	8	1	
Vardas4854     Pavarde4854     4	6	2	5	8	3	1	4	8	9	
Vardas4855     Pavarde4855     9	9	9	2	10	7	9	8	6	3	
Vardas4856     Pavarde4856     6	1	1	10	2	9	1	9	10	4	
Vardas4857     Pavarde4857     3	4	7	1	7	10	3	6	9	8	
Vardas4858     Pavarde4858     4	5	8	7	5	4	2	8	1	9	
Vardas4859     Pavarde4859     8	1	7	4	4	5	3	1	10	10	
Vardas4860     Pavarde4860     4	6	1	9	8	10	1	2	5	10	
Vardas4861     Pavarde4861     1	9	5	3	2	4	8	2	5	10	
Vardas4862     Pavarde4862     3	10	10	4	9	5	7	7	9	6	
Vardas4863     Pavarde4863     7	5	5	8	10	7	6	7	8	3	
Vardas4864     Pavarde4864     3	7	1	3	2	7	9	2	5	2	
Vardas4865     Pavarde4865     3	8	7	7	9	3	3	6	6	1	
Vardas4866     Pavarde4866     6	2	4	2	10	1	10	10	8	1	
Vardas4867     Pavarde4867     2	9	3	10	5	2	10	5	3	5	
Vardas4868     Pavarde4868     2	2	8	2	3	10	3	9	5	2	
Vardas4869     Pavarde4869     3	1	8	1	2	1	4	2	6	10	
Vardas4870     Pavarde4870     10	10	4	7	6	4	9	6	6	10	
Vardas4871     Pavarde4871     9	2	9	8	8	5	4	4	5	5	
Vardas4872     Pavarde4872     2	10	7	8	10	10	2	3	10	10	
Vardas4873     Pavarde4873     2	6	1	6	3	2	3	6	5	3	
Vardas4874     Pavarde4874     9	5	7	3	4	5	1	8	9	3	
Vardas4875     Pavarde4875     7	9	5	8	8	10	8	2	4	5	
Vardas4876     Pavarde4876     8	2	2	10	2	10	1	3	10	1	
Vardas4877     Pavarde4877     10	2	3	3	2	10	4	2	2	2	
Vardas4878     Pavarde4878     1	6	5	9	5	5	8	10	6	2	
Vardas4879     Pavarde4879     2	6	3	2	1	4	2	5	4	5	
Vardas4880     Pavarde4880     9	5	10	7	1	2	3	5	1	3	
Vardas4881     Pavarde4881     6	9	4	9	7	6	2	5	5	10	
Vardas4882     Pavarde4882     5	3	2	7	1	1	4	7	8	8	
Vardas4883     Pavarde4883     6	2	5	3	3	2	7	8	5	1	
Vardas4884     Pavarde4884     1	8	2	1	5	8	3	5	3	4	
Vardas4885     Pavarde4885     10	4	8	1	1	1	2	3	4	5	
Vardas4886     Pavarde4886     4	5	4	3	3	10	5	9	5	10	
Vardas4887     Pavarde4887     8	1	8	10	7	6	7	5	1	8	
Vardas4888     Pavarde4888     10	5	7	7	8	2	8	1	2	8	
Vardas4889     Pavarde4889     4	6	4	7	10	8	8	1	2	5	
Vardas4890     Pavarde4890     1	2	6	3	6	3	5	9	1	9	
Vardas4891     Pavarde4891     2	3	5	7	6	10	10	9	2	9	
Vardas4892     Pavarde4892     8	10	10	7	8	9	9	3	1	4	
Vardas4893     Pavarde4893     9	4	3	3	9	2	5	3	8	7	
Vardas4894     Pavarde4894     1	4	7	6	10	2	6	4	3	8	
Vardas4895     Pavarde4895     2	4	8	4	10	9	10	6	2	5	
Vardas4896     Pavarde4896     3	7	2	9	6	5	9	9	3	8	
Vardas4897     Pavarde4897     5	6	7	2	9	2	5	2	6	9	
Vardas4898     Pavarde4898     8	4	3	8	9	5	4	3	4	5	
Vardas4899     Pavarde4899     4	3	5	10	3	1	6	10	3	7	
Vardas4900     Pavarde4900     4	7	2	3	9	10	1	5	1	7	
Vardas4901     Pavarde4901     1	4	4	1	10	5	8	1	7	5	
Vardas4902     Pavarde4902     1	8	6	7	9	5	9	6	9	1	
Vardas4903     Pavarde4903     10	4	9	3	1	2	10	5	6	7	
Vardas4904     Pavarde4904     4	5	6	4	6	5	4	2	9	7	
Vardas4905     Pavarde4905     5	8	9	9	2	9	6	1	8	6	
Vardas4906     Pavarde4906     1	10	1	3	2	4	4	10	4	8	
Vardas4907     Pavarde4907     9	8	1	5	4	2	5	6	2	1	
Vardas4908     Pavarde4908     9	3	9	10	6	9	9	6	10	1	
Vardas4909     Pavarde4909     9	3	3	10	10	6	5	5	8	5	
Vardas4910     Pavarde4910     6	9	3	1	4	2	8	1	1	3	
Vardas4911     Pavarde4911     3	7	10	7	2	7	3	2	6	9	
Vardas4912     Pavarde4912     10	2	2	1	5	2	10	4	7	3	
Vardas4913     Pavarde4913     9	2	10	6	10	5	6	8	7	8	
Vardas4914     Pavarde4914     6	1	7	5	4	5	7	8	8	7	
Vardas4915     Pavarde4915     9	1	1	1	2	2	10	4	7	5	
Vardas4916     Pavarde4916     8	7	4	5	5	4	9	5	8	5	
Vardas4917     Pavarde4917     1	9	2	9	3	2	7	3	1	10	
Vardas4918     Pavarde4918     7	5	9	5	6	9	3	2	7	7	
Vardas4919     Pavarde4919     10	4	3	10	2	3	1	7	3	6	
Vardas4920     Pavarde4920     5	3	6	5	2	8	8	8	4	8	
Vardas4921     Pavarde4921     1	8	7	6	7	4	2	10	1	4	
Vardas4922     Pavarde4922     3	9	4	6	5	10	9	3	10	7	
Vardas4923     Pavarde4923     6	7	1	4	6	6	8	3	2	10	
Vardas4924     Pavarde4924     5	7	9	4	10	6	10	6	6	3	
Vardas4925     Pavarde4925     1	2	4	7	3	8	7	6	4	9	
Vardas4926     Pavarde4926     10	3	4	9	9	7	3	2	2	6	
Vardas4927     Pavarde4927     10	10	4	6	8	6	7	1	9	9	
Vardas4928     Pavarde4928     6	2	3	1	8	7	4	9	7	8	
Vardas4929     Pavarde4929     7	1	6	7	9	8	5	1	3	6	
Vardas4930     Pavarde4930     5	2	9	8	1	4	6	2	2	8	
Vardas4931     Pavarde4931     10	5	8	3	4	7	1	5	2	3	
Vardas4932     Pavarde4932     1	10	6	2	6	3	10	8	2	10	
Vardas4933     Pavarde4933     4	1	5	8	5	1	8	6	6	5	
Vardas4934     Pavarde4934     5	6	9	4	4	6	9	5	10	1	
Vardas4935     Pavarde4935     3	7	2	2	1	10	2	4	3	5	
Vardas4936     Pavarde4936     9	4	4	10	1	2	2	6	5	10	
Vardas4937     Pavarde4937     10	4	1	10	3	2	7	3	8	8	
Vardas4938     Pavarde4938     1	2	3	7	7	2	2	9	8	5	
Vardas4939     Pavarde4939     6	2	3	1	7	6	10	7	7	1	
Vardas4940     Pavarde4940     2	8	9	7	1	2	8	6	6	4	
Vardas4941     Pavarde4941     7	9	6	2	2	5	5	3	1	8	
Vardas4942     Pavarde4942     2	3	7	5	4	10	3	2	4	9	
Vardas4943     Pavarde4943     6	7	3	1	2	7	8	8	9	7	
Vardas4944     Pavarde4944     8	3	9	9	4	6	6	3	5	10	
Vardas4945     Pavarde4945     7	1	1	7	10	9	4	3	9	2	
Vardas4946     Pavarde4946     3	7	10	4	7	7	3	3	4	6	
Vardas4947     Pavarde4947     10	5	9	5	7	9	10	5	5	7	
Vardas4948     Pavarde4948     10	3	8	4	3	5	9	4	2	3	
Vardas4949     Pavarde4949     2	2	2	9	10	4	10	8	3	7	
Vardas4950     Pavarde4950     10	1	5	2	7	4	5	1	1	2	
Vardas4951     Pavarde4951     3	1	8	8	3	7	8	4	9	9	
Vardas4952     Pavarde4952     10	8	8	8	10	2	9	10	2	9	
Vardas4953     Pavarde4953     5	8	5	8	4	5	10	6	7	6	
Vardas4954     Pavarde4954     6	3	4	3	8	8	3	4	5	1	
Vardas4955     Pavarde4955     5	4	2	1	3	1	10	4	2	3	
Vardas4956     Pavarde4956     6	1	10	1	6	6	3	7	5	6	
Vardas4957     Pavarde4957     7	5	7	8	2	1	10	10	2	9	
Vardas4958     Pavarde4958     3	9	1	7	3	9	8	10	6	7	
Vardas4959     Pavarde4959     1	5	2	4	4	2	9	3	10	10	
Vardas4960     Pavarde4960     6	9	9	2	8	8	7	10	9	9	
Vardas4961     Pavarde4961     4	1	8	6	7	6	6	6	3	1	
Vardas4962     Pavarde4962     8	5	8	4	2	7	10	7	5	9	
Vardas4963     Pavarde4963     10	9	7	7	6	7	5	5	5	4	
Vardas4964     Pavarde4964     1	8	8	7	10	3	1	1	4	9	
Vardas4965     Pavarde4965     7	4	8	4	1	5	8	9	5	10	
Vardas4966     Pavarde4966     2	7	2	3	7	8	4	7	4	6	
Vardas4967     Pavarde4967     8	7	6	6	7	2	9	5	7	3	
Vardas4968     Pavarde4968     10	4	10	2	10	4	6	1	5	7	
Vardas4969     Pavarde4969     3	5	8	3	1	3	1	6	6	7	
Vardas4970     Pavarde4970     4	10	1	5	3	6	3	6	8	2	
Vardas4971     Pavarde4971     1	7	3	5	5	9	8	1	6	6	
Vardas4972     Pavarde4972     6	7	8	9	10	1	1	8	3	4	
Vardas4973     Pavarde4973     1	6	5	3	6	1	7	7	3	3	
Vardas4974     Pavarde4974     9	6	6	4	6	5	2	10	7	9	
Vardas4975     Pavarde4975     9	8	10	3	7	8	5	9	9	10	
Vardas4976     Pavarde4976     5	5	8	4	7	5	1	10	1	2	
Vardas4977     Pavarde4977     8	9	4	5	1	4	8	5	2	9	
Vardas4978     Pavarde4978     4	7	5	5	8	2	10	10	7	3	
Vardas4979     Pavarde4979     1	7	3	8	4	9	7	4	4	2	
Vardas4980     Pavarde4980     3	10	7	10	4	6	7	1	9	10	
Vardas4981     Pavarde4981     10	7	5	8	1	2	4	7	10	2	
Vardas4982     Pavarde4982     5	6	4	4	5	4	9	3	8	5	
Vardas4983     Pavarde4983     8	7	1	2	8	9	1	7	7	2	
Vardas4984     Pavarde4984     8	5	9	10	6	8	5	9	10	6	
Vardas4985     Pavarde4985     6	3	6	6	3	6	10	2	10	3	
Vardas4986     Pavarde4986     3	4	9	2	8	9	9	5	3	8	
Vardas4987     Pavarde4987     8	1	1	4	9	6	6	6	7	6	
Vardas4988     Pavarde4988     8	7	2	9	8	5	1	4	7	10	
Vardas4989     Pavarde4989     9	9	6	7	7	2	6	2	9	1	
Vardas4990     Pavarde4990     6	9	3	4	10	8	9	2	5	9	
Vardas4991     Pavarde4991     6	4	2	6	5	6	1	5	10	6	
Vardas4992     Pavarde4992     4	8	2	10	4	5	9	10	3	10	
Vardas4993     Pavarde4993     10	9	4	3	8	1	8	10	8	9	
Vardas4994     Pavarde4994     2	5	9	9	4	3	10	2	3	4	
Vardas4995     Pavarde4995     5	1	9	4	3	10	1	10	10	10	
Vardas4996     Pavarde4996     9	6	3	2	1	2	9	6	7	6	
Vardas4997     Pavarde4997     4	5	8	10	7	3	3	2	5	2	
Vardas4998     Pavarde4998     9	4	2	6	5	9	8	9	2	5	
Vardas4999     Pavarde4999     8	6	8	6	1	5	6	5	2	1	
Vardas5000     Pavarde5000     8	8	9	2	3	2	3	2	3	10	
Vardas5001     Pavarde5001     1	9	10	3	10	2	9	8	8	2	
Vardas5002     Pavarde5002     1	4	8	9	7	6	5	4	2	2	
Vardas5003     Pavarde5003     7	5	10	9	10	8	4	6	4	3	
Vardas5004     Pavarde5004     10	7	4	7	7	5	10	4	1	4	
Vardas5005     Pavarde5005     5	6	8	1	10	3	7	5	9	10	
Vardas5006     Pavarde5006     9	1	4	7	6	10	9	6	5	1	
Vardas5007     Pavarde5007     5	4	3	7	2	1	2	8	3	1	
Vardas5008     Pavarde5008     10	5	8	7	4	1	6	7	3	6	
Vardas5009     Pavarde5009     2	4	7	4	5	1	4	9	6	9	
Vardas5010     Pavarde5010     5	5	2	10	6	1	2	2	4	6	
Vardas5011     Pavarde5011     9	2	3	7	1	4	9	2	3	9	
Vardas5012     Pavarde5012     3	9	10	8	7	7	7	7	9	8	
Vardas5013     Pavarde5013     1	10	3	7	4	9	4	4	3	1	
Vardas5014     Pavarde5014     9	5	4	8	6	5	7	5	7	7	
Vardas5015     Pavarde5015     5	7	6	6	6	6	4	4	4	10	
Vardas5016     Pavarde5016     10	1	8	4	9	7	9	2	7	8	
Vardas5017     Pavarde5017     4	6	8	10	4	9	1	9	5	10	
Vardas5018     Pavarde5018     2	1	4	9	9	6	3	1	6	9	
Vardas5019     Pavarde5019     10	3	2	7	5	9	7	4	9	2	
Vardas5020     Pavarde5020     10	8	3	6	2	7	6	3	8	3	
Vardas5021     Pavarde5021     4	9	4	7	4	4	8	3	3	5	
Vardas5022     Pavarde5022     7	5	5	1	1	4	3	1	2	10	
Vardas5023     Pavarde5023     3	9	5	3	2	5	9	10	9	4	
Vardas5024     Pavarde5024     7	7	1	8	5	6	7	4	6	8	
Vardas5025     Pavarde5025     6	2	3	8	10	3	10	5	7	10	
Vardas5026     Pavarde5026     8	5	10	7	10	4	1	4	5	2	
Vardas5027     Pavarde5027     2	7	2	10	5	5	8	10	4	10	
Vardas5028     Pavarde5028     3	9	3	3	5	6	3	6	7	2	
Vardas5029     Pavarde5029     10	10	9	5	8	6	8	2	8	1	
Vardas5030     Pavarde5030     6	5	2	9	4	4	9	5	1	8	
Vardas5031     Pavarde5031     5	8	8	3	10	6	3	6	5	8	
Vardas5032     Pavarde5032     5	6	10	9	3	6	3	9	8	3	
Vardas5033     Pavarde5033     3	2	3	6	1	5	3	2	2	4	
Vardas5034     Pavarde5034     9	1	8	9	10	2	4	4	6	1	
Vardas5035     Pavarde5035     7	6	4	3	4	9	6	7	4	3	
Vardas5036     Pavarde5036     5	10	2	2	1	7	7	7	4	3	
Vardas5037     Pavarde5037     1	1	5	5	8	6	1	9	6	1	
Vardas5038     Pavarde5038     8	4	9	9	9	6	6	8	10	10	
Vardas5039     Pavarde5039     2	1	9	9	5	10	8	3	3	5	
Vardas5040     Pavarde5040     1	8	9	3	9	8	10	5	10	4	
Vardas5041     Pavarde5041     5	4	1	7	3	3	4	6	5	2	
Vardas5042     Pavarde5042     4	7	1	5	5	3	4	2	4	9	
Vardas5043     Pavarde5043     1	2	9	5	10	8	10	10	2	5	
Vardas5044     Pavarde5044     7	2	5	5	7	9	9	2	8	3	
Vardas5045     Pavarde5045     7	5	4	8	9	1	6	2	4	7	
Vardas5046     Pavarde5046     10	3	7	3	4	7	10	5	1	2	
Vardas5047     Pavarde5047     8	2	6	8	10	6	10	8	6	4	
Vardas5048     Pavarde5048     4	2	9	2	7	4	4	3	8	8	
Vardas5049     Pavarde5049     8	10	5	4	8	5	9	5	4	7	
Vardas5050     Pavarde5050     7	5	10	8	1	5	3	9	5	10	
Vardas5051     Pavarde5051     10	5	4	2	10	7	7	6	10	6	
Vardas5052     Pavarde5052     9	2	3	6	10	8	9	7	10	3	
Vardas5053     Pavarde5053     3	9	10	6	7	4	3	4	5	2	
Vardas5054     Pavarde5054     5	4	5	2	10	9	10	3	3	5	
Vardas5055     Pavarde5055     8	1	8	2	6	9	3	8	9	9	
Vardas5056     Pavarde5056     8	4	2	10	5	10	4	2	10	8	
Vardas5057     Pavarde5057     10	7	9	2	2	5	2	8	2	5	
Vardas5058     Pavarde5058     5	5	2	7	7	2	9	6	8	2	
Vardas5059     Pavarde5059     4	6	2	2	5	10	7	9	9	1	
Vardas5060     Pavarde5060     2	6	2	4	6	4	5	10	8	9	
Vardas5061     Pavarde5061     4	1	7	6	1	4	2	1	3	3	
Vardas5062     Pavarde5062     8	3	7	8	8	4	2	10	3	5	
Vardas5063     Pavarde5063     7	2	3	10	6	5	10	1	8	10	
Vardas5064     Pavarde5064     3	9	2	8	7	10	1	5	8	9	
Vardas5065     Pavarde5065     1	3	2	6	7	1	9	8	9	6	
Vardas5066     Pavarde5066     4	2	6	10	3	5	2	3	8	7	
Vardas5067     Pavarde5067     4	5	4	2	3	2	3	3	5	9	
Vardas5068     Pavarde5068     4	2	5	6	3	9	7	3	7	10	
Vardas5069     Pavarde5069     7	2	7	10	9	3	5	8	2	6	
Vardas5070     Pavarde5070     5	9	7	9	9	5	3	2	10	9	
Vardas5071     Pavarde5071     5	3	5	3	4	6	7	8	2	5	
Vardas5072     Pavarde5072     10	1	8	5	4	5	6	1	8	6	
Vardas5073     Pavarde5073     2	2	2	9	9	1	5	1	3	9	
Vardas5074     Pavarde5074     4	7	9	4	5	5	10	8	4	7	
Vardas5075     Pavarde5075     3	4	6	5	10	7	1	8	7	3	
Vardas5076     Pavarde5076     9	6	1	6	3	1	9	3	6	3	
Vardas5077     Pavarde5077     5	5	5	5	2	10	4	2	7	2	
Vardas5078     Pavarde5078     9	8	3	4	10	3	8	6	8	2	
Vardas5079     Pavarde5079     5	2	2	10	7	1	1	6	7	5	
Vardas5080     Pavarde5080     1	10	6	4	1	5	8	1	7	1	
Vardas5081     Pavarde5081     6	7	10	1	8	10	5	6	9	4	
Vardas5082     Pavarde5082     5	9	5	7	7	9	9	3	9	7	
Vardas5083     Pavarde5083     4	8	1	5	3	5	5	7	2	8	
Vardas5084     Pavarde5084     3	1	8	3	6	3	7	9	1	4	
Vardas5085     Pavarde5085     8	4	2	10	7	7	5	10	9	3	
Vardas5086     Pavarde5086     7	5	4	4	5	1	7	7	1	5	
Vardas5087     Pavarde5087     1	2	7	2	2	7	8	7	1	4	
Vardas5088     Pavarde5088     6	6	2	1	4	6	6	1	5	2	
Vardas5089     Pavarde5089     8	1	4	4	4	3	9	4	1	10	
Vardas5090     Pavarde5090     8	3	2	1	4	2	1	5	7	1	
Vardas5091     Pavarde5091     9	7	1	9	4	5	7	9	5	1	
Vardas5092     Pavarde5092     2	8	3	8	6	6	4	9	9	4	
Vardas5093     Pavarde5093     10	8	7	8	9	7	5	8	6	6	
Vardas5094     Pavarde5094     4	7	6	4	8	5	10	9	4	4	
Vardas5095     Pavarde5095     3	8	1	4	10	2	9	6	7	7	
Vardas5096     Pavarde5096     10	8	7	7	1	6	7	8	1	10	
Vardas5097     Pavarde5097     8	7	8	7	9	7	6	5	3	1	
Vardas5098     Pavarde5098     1	7	6	6	6	9	3	7	9	5	
Vardas5099     Pavarde5099     5	2	1	3	6	2	6	4	9	2	
Vardas5100     Pavarde5100     5	5	10	9	10	6	8	3	3	1	
Vardas5101     Pavarde5101     9	6	2	8	4	6	6	6	5	5	
Vardas5102     Pavarde5102     7	3	9	5	5	7	8	8	6	4	
Vardas5103     Pavarde5103     8	9	6	10	9	7	7	1	7	2	
Vardas5104     Pavarde5104     2	7	4	9	4	6	2	1	9	1	
Vardas5105     Pavarde5105     2	3	3	6	8	2	3	7	7	2	
Vardas5106     Pavarde5106     4	1	10	2	10	3	3	3	4	5	
Vardas5107     Pavarde5107     6	5	5	8	10	2	7	4	5	9	
Vardas5108     Pavarde5108     5	2	4	3	9	7	8	4	3	10	
Vardas5109     Pavarde5109     4	4	2	3	2	9	9	5	1	2	
Vardas5110     Pavarde5110     3	7	3	1	8	1	7	10	9	5	
Vardas5111     Pavarde5111     7	10	7	9	2	3	4	10	7	8	
Vardas5112     Pavarde5112     1	8	9	1	2	7	7	8	5	5	
Vardas5113     Pavarde5113     9	3	2	1	3	2	2	6	8	2	
Vardas5114     Pavarde5114     3	8	5	10	3	2	7	10	6	6	
Vardas5115     Pavarde5115     6	2	10	7	1	6	4	2	6	5	
Vardas5116     Pavarde5116     2	3	3	5	2	8	6	6	9	1	
Vardas5117     Pavarde5117     8	7	3	8	7	6	1	10	1	2	
Vardas5118     Pavarde5118     2	2	9	2	8	1	2	7	9	10	
Vardas5119     Pavarde5119     7	8	8	7	9	2	4	4	6	5	
Vardas5120     Pavarde5120     2	4	4	8	1	10	3	7	9	9	
Vardas5121     Pavarde5121     7	4	9	1	5	4	9	6	9	7	
Vardas5122     Pavarde5122     6	10	10	8	5	7	2	6	3	6	
Vardas5123     Pavarde5123     6	6	8	5	1	6	6	5	10	6	
Vardas5124     Pavarde5124     6	10	10	8	8	8	8	10	4	3	
Vardas5125     Pavarde5125     8	10	3	6	9	10	8	3	7	4	
Vardas5126     Pavarde5126     3	7	8	8	7	8	10	2	8	5	
Vardas5127     Pavarde5127     8	2	10	3	5	9	9	7	5	8	
Vardas5128     Pavarde5128     3	1	9	9	8	1	3	9	7	5	
Vardas5129     Pavarde5129     3	9	7	8	6	1	6	2	9	6	
Vardas5130     Pavarde5130     5	5	1	2	9	10	5	7	6	3	
Vardas5131     Pavarde5131     6	10	10	7	10	5	5	9	8	2	
Vardas5132     Pavarde5132     6	4	4	10	7	2	8	2	1	2	
Vardas5133     Pavarde5133     5	6	3	8	5	3	6	8	8	10	
Vardas5134     Pavarde5134     6	5	1	6	9	4	3	3	9	3	
Vardas5135     Pavarde5135     7	7	9	1	1	4	6	10	9	1	
Vardas5136     Pavarde5136     6	10	10	3	9	6	3	7	9	8	
Vardas5137     Pavarde5137     9	4	4	9	3	2	10	5	2	5	
Vardas5138     Pavarde5138     1	8	2	6	5	8	2	3	9	8	
Vardas5139     Pavarde5139     2	5	7	1	10	4	9	7	9	5	
Vardas5140     Pavarde5140     4	7	7	9	10	2	6	3	10	3	
Vardas5141     Pavarde5141     4	3	7	4	10	10	8	9	1	10	
Vardas5142     Pavarde5142     1	2	8	1	7	9	8	6	5	3	
Vardas5143     Pavarde5143     8	1	8	8	5	4	9	1	3	1	
Vardas5144     Pavarde5144     9	8	3	2	8	3	10	5	2	5	
Vardas5145     Pavarde5145     6	1	1	3	4	8	10	2	6	1	
Vardas5146     Pavarde5146     2	6	8	10	6	2	4	2	10	10	
Vardas5147     Pavarde5147     10	1	8	8	10	7	10	5	3	7	
Vardas5148     Pavarde5148     10	6	7	3	7	1	9	10	4	7	
Vardas5149     Pavarde5149     9	3	5	6	10	3	1	2	3	4	
Vardas5150     Pavarde5150     10	1	9	4	9	5	10	8	1	7	
Vardas5151     Pavarde5151     1	5	4	3	10	9	1	3	6	8	
Vardas5152     Pavarde5152     1	3	9	7	7	7	9	6	5	1	
Vardas5153     Pavarde5153     3	7	3	1	9	10	2	1	4	10	
Vardas5154     Pavarde5154     9	9	4	9	9	3	10	8	8	7	
Vardas5155     Pavarde5155     4	6	5	9	10	2	3	3	5	6	
Vardas5156     Pavarde5156     9	2	2	1	9	10	10	9	8	5	
Vardas5157     Pavarde5157     4	8	4	1	3	7	2	10	1	4	
Vardas5158     Pavarde5158     3	7	2	3	10	1	5	1	1	9	
Vardas5159     Pavarde5159     2	1	8	8	1	3	8	1	4	9	
Vardas5160     Pavarde5160     3	8	5	7	3	6	8	10	2	6	
Vardas5161     Pavarde5161     10	3	6	8	1	9	4	7	2	2	
Vardas5162     Pavarde5162     7	5	3	7	8	4	4	1	2	3	
Vardas5163     Pavarde5163     10	2	7	4	4	8	6	5	4	9	
Vardas5164     Pavarde5164     6	10	2	3	6	8	3	5	7	10	
Vardas5165     Pavarde5165     8	5	1	4	9	9	6	1	6	7	
Vardas5166     Pavarde5166     8	10	8	2	8	7	1	2	7	4	
Vardas5167     Pavarde5167     9	7	2	7	5	7	9	8	1	8	
Vardas5168     Pavarde5168     8	8	9	5	2	9	4	3	5	8	
Vardas5169     Pavarde5169     9	1	5	7	6	4	8	8	6	2	
Vardas5170     Pavarde5170     1	9	10	2	8	1	6	8	3	3	
Vardas5171     Pavarde5171     3	2	5	8	3	5	1	1	2	10	
Vardas5172     Pavarde5172     7	6	9	1	10	4	10	6	7	7	
Vardas5173     Pavarde5173     3	10	8	3	1	7	8	7	6	4	
Vardas5174     Pavarde5174     6	9	4	3	4	2	8	3	9	4	
Vardas5175     Pavarde5175     4	7	3	2	9	2	6	4	3	8	
Vardas5176     Pavarde5176     6	10	4	6	10	4	2	10	7	5	
Vardas5177     Pavarde5177     6	10	7	9	4	7	4	9	5	10	
Vardas5178     Pavarde5178     8	8	10	1	9	8	7	7	3	2	
Vardas5179     Pavarde5179     1	8	7	8	3	5	5	9	6	5	
